accountID;installationID;nationalAdministrator;accountType;accountHolderName
110868;205641;Netherlands;100-Holding Account;Asfalt-Centrale BAM B.V.
90099;200123;Iceland;100-Holding Account;Switchback Argentina
100473;21;Finland;100-Holding Account;Savon Voima Joensuu Oy
95265;1091;France;100-Holding Account;CIMENTS CALCIA
110869;205601;Italy;100-Holding Account;FACI SpA
105677;342;Germany;100-Holding Account;Hart Keramik AG
90100;200124;Iceland;100-Holding Account;Silk Way Airlines LLC
95266;281;France;100-Holding Account;THERMEVRA
100474;22;Finland;100-Holding Account;Savon Voima Joensuu Oy
110870;205325;Italy;100-Holding Account;Ila Laterizi Srl
105679;2595;Germany;100-Holding Account;Columbian Carbon Deutschland GmbH
90101;200127;France;100-Holding Account;MIDDLE EAST AIRLINES - AIRLIBAN S.A.L.
95267;73;France;100-Holding Account;EDF SA
100475;23;Finland;100-Holding Account;Fortum Power and Heat Oy
110871;205327;Italy;100-Holding Account;Scianatico Laterizi Srl
95268;1090;France;100-Holding Account;COMPAGNIE DE COGENERATION DE LA BRAYE
105680;2596;Germany;100-Holding Account;Feldmuehle GmbH
110872;205645;Slovakia;100-Holding Account;NAFTA a.s.
90102;200128;France;100-Holding Account;SPECIALISED TRANSPORTATION LIMITED
100476;24;Finland;100-Holding Account;Savon Voima Joensuu Oy
95269;836;France;100-Holding Account;ESSITY OPERATIONS FRANCE
90103;200129;France;100-Holding Account;AVIALAIR
100477;25;Finland;100-Holding Account;Savon Voima Joensuu Oy
105682;580;Germany;100-Holding Account;Baden Board GmbH
95270;280;France;100-Holding Account;UPM FRANCE SAS
100478;26;Finland;100-Holding Account;Fortum Power and Heat Oy
90104;200132;France;100-Holding Account;ACTIFLY
95271;835;France;100-Holding Account;WIENERBERGER
110876;205646;Netherlands;100-Holding Account;Haagse Asfaltcentrale (HAC) B.V.
100479;27;Finland;100-Holding Account;Fortum Power and Heat Oy
105684;4122;Germany;100-Holding Account;IHKW Industrieheizkraftwerk Andernach GmbH
110877;205648;Spain;100-Holding Account;Global Air Services
105685;343;Germany;100-Holding Account;Hörl & Hartmann Ziegeltechnik GmbH & Co. KG
100480;28;Finland;100-Holding Account;Fortum Power and Heat Oy
95273;1089;France;100-Holding Account;SPL CHARTRES METROPOLE ENERGIES
90107;200134;Iceland;100-Holding Account;Investair 300
110878;205647;Netherlands;100-Holding Account;Asfalt-Centrale Limburg B.V.
95274;834;France;100-Holding Account;KRONENBOURG SUPPLY COMPANY SAS
105686;860;Germany;100-Holding Account;INEOS Manufacturing Deutschland GmbH
100481;29;Finland;100-Holding Account;Savon Voima Joensuu Oy
110879;205649;Finland;100-Holding Account;Saint-Gobain Finland Oy
95275;279;France;100-Holding Account;LAFARGEHOLCIM CIMENTS
90110;200131;Netherlands;100-Holding Account;K.O.M. Activity I B.V.
100482;30;Finland;100-Holding Account;Fortum Power and Heat Oy
110880;205627;Germany;100-Holding Account;Sonae Arauco Deutschland GmbH
105688;4128;Germany;100-Holding Account;Knauf Insulation GmbH
100483;31;Finland;100-Holding Account;Raseborgs Energi Ab
90111;200142;Finland;100-Holding Account;Finnair Oyj
95277;278;France;100-Holding Account;AHLSTROM SPECIALTIES
110881;205333;Italy;100-Holding Account;ZML Industries SpA
100484;407;Finland;100-Holding Account;Stora Enso Oyj
90112;200144;France;100-Holding Account;ACCOR SA
95278;1088;France;100-Holding Account;SVD 17
105690;581;Germany;100-Holding Account;Hans Kolb Papierfabrik GmbH & Co. KG
110882;205382;Italy;100-Holding Account;KNAUF di Knauf S.r.l. s.a.s.
100485;515;Finland;100-Holding Account;EPV Energia Oy
95279;277;France;100-Holding Account;POCHET DU COURVAL
110883;205651;Sweden;100-Holding Account;Västerbergslagens Energi AB
100486;516;Finland;100-Holding Account;EPV Energia Oy
95280;833;France;100-Holding Account;MULHOUSE ALSACE AGGLOMERATION (M2A)
110884;205652;Sweden;100-Holding Account;Halmstads Energi & Miljö AB
100487;32;Finland;100-Holding Account;Etelä-Savon Energia Oy
95281;275;France;100-Holding Account;SANOFI CHIMIE
105694;861;Germany;100-Holding Account;LEIPA Georg Leinfelder GmbH
110885;205604;Italy;100-Holding Account;Ravenna Servizi Industriali S.C.p.A.
100488;33;Finland;100-Holding Account;Etelä-Savon Energia Oy
105695;4129;Germany;100-Holding Account;Pfleiderer Gütersloh GmbH
95282;832;France;100-Holding Account;LILLY France SAS
110886;205195;Portugal;100-Holding Account;CINCA - Companhia Industrial de Cerâmica, S.A.
100489;34;Finland;100-Holding Account;Etelä-Savon Energia Oy
105696;4127;Germany;100-Holding Account;Daimler Truck AG
95283;1087;France;100-Holding Account;CRISTAL UNION
110887;205510;Czech Republic;100-Holding Account;Porr a.s.
100490;35;Finland;100-Holding Account;Etelä-Savon Energia Oy
95284;831;France;100-Holding Account;PAPETERIES DE TURCKHEIM
105697;582;Germany;100-Holding Account;Smurfit Kappa Hoya Papier und Karton GmbH
95285;274;France;100-Holding Account;RENAULT CLEON
100491;36;Finland;100-Holding Account;Etelä-Savon Energia Oy
105698;4101;Germany;100-Holding Account;GMB Glasmanufaktur Brandenburg GmbH
110890;205659;France;100-Holding Account;APERAM STAINLESS FRANCE
100492;37;Finland;100-Holding Account;Etelä-Savon Energia Oy
95286;1086;France;100-Holding Account;CRISTAL UNION
105699;862;Germany;100-Holding Account;Südzucker AG
95287;830;France;100-Holding Account;WIENERBERGER
100493;453;Finland;100-Holding Account;Adven Oy
105700;4126;Germany;100-Holding Account;Grünenthal GmbH
110892;205660;France;100-Holding Account;APERAM STAINLESS FRANCE
100494;517;Finland;100-Holding Account;Fingrid Oyj
105701;344;Germany;100-Holding Account;Blaschek Feuerfest GmbH & Co. KG
95288;18;France;100-Holding Account;AHLSTROM CHANTRAINE
110893;205656;Spain;100-Holding Account;ENAGAS TRANSPORTE, S.A.U
100495;518;Finland;100-Holding Account;Fingrid Oyj
95289;98;France;100-Holding Account;LHOIST FRANCE OUEST
110894;205655;Italy;100-Holding Account;GRANITIFIANDRE SPA
90130;200160;Bulgaria;100-Holding Account;Bulgaria Air
105703;863;Germany;100-Holding Account;WSW Energie & Wasser AG
100496;519;Finland;100-Holding Account;Fingrid Oyj
110895;205657;Italy;100-Holding Account;GRANITIFIANDRE SPA
95290;829;France;100-Holding Account;DS SMITH PAPER KAYSERSBERG
90131;200162;France;100-Holding Account;THE DOW CHEMICAL COMPANY
100497;520;Finland;100-Holding Account;Fingrid Oyj
95291;1085;France;100-Holding Account;GRTGAZ
110896;205654;Italy;100-Holding Account;GRANITIFIANDRE SPA
90132;200164;France;100-Holding Account;AIR ALGERIE
105705;583;Germany;100-Holding Account;Smurfit Kappa Hoya Papier und Karton GmbH
100498;521;Finland;100-Holding Account;Fingrid Oyj
110897;205430;Austria;100-Holding Account;GAS CONNECT AUSTRIA GmbH
95292;828;France;100-Holding Account;EUROGLAS SA
105707;2597;Germany;100-Holding Account;Uniper Energy Storage GmbH
95293;1084;France;100-Holding Account;BOURGES BIO ENERGIE SERVICES
100499;522;Finland;100-Holding Account;Fingrid Oyj
110898;205664;Spain;100-Holding Account;Hospital Universitario 12 de Octubre
105708;864;Germany;100-Holding Account;Stadtwerke Bitterfeld-Wolfen GmbH
100500;523;Finland;100-Holding Account;Fingrid Oyj
110899;205663;Denmark;100-Holding Account;Aalborg Varme A/S
95294;599;France;100-Holding Account;PAPETERIES DE GROMELLE
105709;2694;Germany;100-Holding Account;Orion Engineered Carbons GmbH
110900;205607;Germany;100-Holding Account;DS Smith Paper Deutschland GmbH
95295;273;France;100-Holding Account;RENAULT SANDOUVILLE
100501;524;Finland;100-Holding Account;Fingrid Oyj
105710;2695;Germany;100-Holding Account;Nachtmann GmbH Werk Weiden
110901;205433;Austria;100-Holding Account;Trans Austria Gasleitung GmbH
95296;827;France;100-Holding Account;ALSACHIMIE
100502;525;Finland;100-Holding Account;Fingrid Oyj
105711;345;Germany;100-Holding Account;Wienerberger GmbH
95297;1083;France;100-Holding Account;STORENGY FRANCE
110902;205435;Austria;100-Holding Account;Trans Austria Gasleitung GmbH
100503;454;Finland;100-Holding Account;Metsä Fibre Oy
110903;205434;Austria;100-Holding Account;Trans Austria Gasleitung GmbH
100504;446;Finland;100-Holding Account;Finnsementti Oy
105712;865;Germany;100-Holding Account;Stadtwerke Frankfurt (Oder) GmbH
95298;72;France;100-Holding Account;YARA FRANCE
110904;205432;Austria;100-Holding Account;GAS CONNECT AUSTRIA GmbH
100505;447;Finland;100-Holding Account;Finnsementti Oy
95299;50;France;100-Holding Account;NESTLE PURINA PETCARE FRANCE
105713;4130;Germany;100-Holding Account;Noelle + von Campe GmbH & Co. KG
100506;38;Finland;100-Holding Account;Nevel Oy
105714;584;Germany;100-Holding Account;Klingele Papierwerke GmbH & Co. KG Papierfabrik Weener
95300;127;France;100-Holding Account;SCOTTO
110906;205608;Germany;100-Holding Account;Harz-Metall GmbH
100507;39;Finland;100-Holding Account;Nevel Oy
95301;826;France;100-Holding Account;ARLANXEO EMULSION RUBBER FRANCE SAS
110907;205562;Germany;100-Holding Account;Walhalla Kalk GmbH & Co. KG
105716;4117;Germany;100-Holding Account;LEDVANCE GmbH
100508;40;Finland;100-Holding Account;Nevel Oy
95302;1082;France;100-Holding Account;SOCIETE BLESOISE DE DISTRIBUTION DE CHALEUR (SBDC)
110908;205431;Austria;100-Holding Account;GAS CONNECT AUSTRIA GmbH
100509;41;Finland;100-Holding Account;Nevel Oy
95303;598;France;100-Holding Account;CONTINENTAL FOODS PRODUCTION FRANCE
105718;346;Germany;100-Holding Account;Wienerberger GmbH
110909;205669;Netherlands;100-Holding Account;Asfalt Productie Tiel (APT) B.V.
90151;200170;France;100-Holding Account;ASL AIRLINES FRANCE SA
100510;42;Finland;100-Holding Account;Nevel Oy
95304;272;France;100-Holding Account;CRISTAL UNION
110910;205670;France;100-Holding Account;TRIMET FRANCE SAS
100511;43;Finland;100-Holding Account;Nevel Oy
90152;200173;Romania;100-Holding Account;CARPATAIR S.A.
95305;1081;France;100-Holding Account;DURALEX INTERNATIONAL
105721;866;Germany;100-Holding Account;Stadtwerke Frankfurt (Oder) GmbH
100512;44;Finland;100-Holding Account;Vapo Oy
110911;205665;Sweden;100-Holding Account;Varaslättens Lagerhus Ek För
90153;200172;Romania;100-Holding Account;BLUE AIR AVIATION S.A.
95306;597;France;100-Holding Account;SMURFIT KAPPA PAPIER RECYCLE FRANCE
100513;45;Finland;100-Holding Account;Nevel Oy
95307;271;France;100-Holding Account;DANONE PRODUITS FRAIS FRANCE
90154;200174;Romania;100-Holding Account;S.C. TAROM S.A.
110912;205672;France;100-Holding Account;KRONOSPAN SAS
100514;46;Finland;100-Holding Account;Nevel Oy
90155;200175;Finland;100-Holding Account;Nordic Regional Airlines Oy
95308;825;France;100-Holding Account;BUTACHIMIE SNC
110913;205674;Netherlands;100-Holding Account;Sensus B.V.
105725;585;Germany;100-Holding Account;Gebr. Hoffsümmer Spezialpapier GmbH Co. KG
100515;47;Finland;100-Holding Account;Fortum Power and Heat Oy
90156;200179;Finland;100-Holding Account;River Aviation Oy
110914;205676;France;100-Holding Account;PROVENCE ENROBES
95309;1080;France;100-Holding Account;MARS PF FRANCE
90157;200169;Netherlands;100-Holding Account;Nippon Cargo Airlines
100516;48;Finland;100-Holding Account;Tornion Voima Oy
110915;205678;Poland;100-Holding Account;COGNOR SPÓŁKA AKCYJNA
95310;596;France;100-Holding Account;SAINT GOBAIN ISOVER
105727;4131;Germany;100-Holding Account;Schoeller Technocell GmbH & Co. KG
100517;49;Finland;100-Holding Account;Pori Energia Oy
90158;200110;United Kingdom;100-Holding Account;Air Canada
110916;205583;Italy;100-Holding Account;FORNACI DEL FAGARÈ s.r.l.
95311;824;France;100-Holding Account;WEIBLEN IMMEUBLES SARL
100518;455;Finland;100-Holding Account;Adven Oy
110917;205681;Croatia;100-Holding Account;INTERCAL d.o.o.
95312;1079;France;100-Holding Account;SOCIETE FLEURY CHAUFFAGE- SOFLEC
105730;4132;Germany;100-Holding Account;Kraftwerk Plattling GmbH
100519;456;Finland;100-Holding Account;Adven Oy
95313;823;France;100-Holding Account;BASF Performance Products France SA
110918;205677;Croatia;100-Holding Account;Ciglana Cerje Tužno d.o.o.
100520;457;Finland;100-Holding Account;Adven Oy
110919;205675;Croatia;100-Holding Account;LEIER-LEITL d.o.o.
105733;586;Germany;100-Holding Account;Sappi Alfeld GmbH
95315;595;France;100-Holding Account;VICAT
110920;205666;United Kingdom;100-Holding Account;Veolia Water Outsourcing Ltd
100521;458;Finland;100-Holding Account;Adven Oy
105734;4133;Germany;100-Holding Account;envia THERM GmbH
100522;459;Finland;100-Holding Account;Adven Oy
95316;270;France;100-Holding Account;EDF SA
110921;205683;Croatia;100-Holding Account;INTERCAL d.o.o.
105736;347;Germany;100-Holding Account;Ziegelwerk Hannover-Hainholz
95317;821;France;100-Holding Account;METZGER
100523;460;Finland;100-Holding Account;Adven Oy
110922;205682;Croatia;100-Holding Account;INTERCAL d.o.o.
95318;269;France;100-Holding Account;COMPAGNIE FRANCAISE ECO HUILE
100524;461;Finland;100-Holding Account;Adven Oy
110923;205516;United Kingdom;100-Holding Account;Wienerberger Limited
95319;594;France;100-Holding Account;ENGIE ENERGIE SERVICES
90170;200200;Cyprus;100-Holding Account;CSM Aviation Ltd
105739;867;Germany;100-Holding Account;Unilever Deutschland Produktions GmbH & Co.OHG
110924;205563;Germany;100-Holding Account;Rheinkalk GmbH
