accountID;installationID;installationName;mainActivity
110818;205590;UNION INVIVO STOCKAGE OTTMARSHEIM;20-Combustion of fuels
95218;294;BOREALIS Usine de Grand-Quevilly;20-Combustion of fuels
100420;642;Flemingsgatans värmecentral;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
90030;200021;866;10-Aircraft operator activities
95219;853;Centre Hospitalier Mulhouse (chaufferie);1-Combustion installations with a rated thermal input exceeding 20 MW
105623;849;Peißenberger Kraftwerks GmbH - Kraftwerk Hausham;20-Combustion of fuels
100421;643;Keljonlahden voimalaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
110820;205587;OFAR SPA;25-Production or processing of ferrous metals
110821;205003;Rohrkontistraße;25-Production or processing of ferrous metals
95220;1102;DALKIA - Industelec Sud Est;20-Combustion of fuels
105624;4116;Geothermie-Heizwerk Erding II;20-Combustion of fuels
100423;644;Määrlahden lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110822;205269;Pilgerstr. 14;25-Production or processing of ferrous metals
105625;334;Werk  Langenzenn  DZ;32-Manufacture of ceramics
95221;852;Centrale production de chal. Hôpital La Colombière;20-Combustion of fuels
100424;645;Pansion Lämpö Ky;20-Combustion of fuels
95222;851;WIENERBERGER - Seltz;32-Manufacture of ceramics
110823;205356;Press-und Ziehwerk;25-Production or processing of ferrous metals
105627;4121;HKW Dresdner Straße;20-Combustion of fuels
100425;646;Luolala;20-Combustion of fuels
110824;205361;'Vergüterei 26''''';25-Production or processing of ferrous metals
95224;850;COGERI;20-Combustion of fuels
110825;205355;Stopfenstraße 12;25-Production or processing of ferrous metals
105629;850;Heizzentrale LHT HAM;20-Combustion of fuels
95225;293;CHAUDIERE BABCOCK;1-Combustion installations with a rated thermal input exceeding 20 MW
110826;205168;Cerdomus - Indústrias Cerâmicas, SA;32-Manufacture of ceramics
100428;649;Torpantien lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95226;292;HOLOPHANE SA;31-Manufacture of glass
100429;650;Nivavaaran lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110828;205324;HEINZ ITALIA S.p.A.;20-Combustion of fuels
105632;335;Werk Bollstedt;32-Manufacture of ceramics
95227;1101;CCBC POLIENAS;30-Production of lime, or calcination of dolomite/magnesite
100430;647;Kyyhlylän lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110829;205611;Grasdrogerij Hartog B.V.;20-Combustion of fuels
95228;849;CHALEUR HAUTEPIERRE;20-Combustion of fuels
105633;851;Modellkraftwerk Völklingen;20-Combustion of fuels
110830;205612;KERVALIS;20-Combustion of fuels
95229;848;SIL FALA;1-Combustion installations with a rated thermal input exceeding 20 MW
110831;205610;38737;10-Aircraft operator activities
100434;651;Järvenpään voimalaitos;20-Combustion of fuels
95230;1100;ISERGIE;20-Combustion of fuels
90050;200040;21470;10-Aircraft operator activities
110832;205169;Sanindusa - Indústria de Sanitários, S.A. (C1/C2);32-Manufacture of ceramics
95231;847;'HOLCIM HAUT RHIN - Usine d''Altkirch';29-Production of cement clinker
100435;652;Lämpölän lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
105638;336;Werk   Petershagen;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
95232;291;MADRILLET ENERGIE - St Etienne du Rouvray;20-Combustion of fuels
110833;205614;BERNARD PRODUCTIONS VEGETALES;20-Combustion of fuels
105639;852;Kraftwerk Bexbach;20-Combustion of fuels
100437;653;Sviby Panncentral;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95233;1097;Chaufferie du Sanitas;20-Combustion of fuels
110834;205591;ORSA SRL;20-Combustion of fuels
100438;654;Bioenergi MB5 MB11;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110835;205617;Unilin Resins;42-Production of bulk chemicals
95234;290;ESSITY OPERATIONS FRANCE - Site de Hondouville;35-Production of pulp
105642;574;Heizwerk Gemmrigheim;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
110836;205429;COLUMBUS SRL;20-Combustion of fuels
100439;655;Lamminperän lämpökeskus;20-Combustion of fuels
95235;1096;Station compres.de Roussines (GDF);1-Combustion installations with a rated thermal input exceeding 20 MW
110837;205592;Metinvest Trametal SpA;25-Production or processing of ferrous metals
95236;74;ORION ENGINEERED CARBONS SAS;20-Combustion of fuels
105644;337;Werk  Wefensleben;32-Manufacture of ceramics
100441;656;Varissaaren voimalaitos;20-Combustion of fuels
110838;205619;Affaldscenter Århus, Forbrændingsanlægget;20-Combustion of fuels
95237;289;KIMBERLY CLARK Sotteville-Lès-Rouen;36-Production of paper or cardboard
105645;853;Heizkraftwerk Stolberg/Aachen;1-Combustion installations with a rated thermal input exceeding 20 MW
100442;657;Metallikadun Lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95238;288;LUBRIZOL FRANCE OUDALLE;20-Combustion of fuels
100443;658;Puhdistamonkadun lämpökeskus POK;1-Combustion installations with a rated thermal input exceeding 20 MW
105647;854;Heizkraftwerk Hafen der Stadtwerke Münster GmbH;20-Combustion of fuels
95239;846;EURO TF;1-Combustion installations with a rated thermal input exceeding 20 MW
110841;205490;Slévárny Třinec, a.s.;25-Production or processing of ferrous metals
100444;659;Viirinkankaan opetuslämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95240;99;TEREGA - Station de compression de Mont;20-Combustion of fuels
110842;205547;Saint-Gobain PPC Italia S.p.A. stab. di Termoli;34-Production or processing of gypsum or plasterboard
105649;575;Papiermaschinen Glückstadt;36-Production of paper or cardboard
95241;287;DA ALIZAY SAS;35-Production of pulp
110843;205548;Saint-Gobain PPC Italia S.p.A. stab. di Casola;34-Production or processing of gypsum or plasterboard
100447;660;Viuhan lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95242;845;HEINEKEN ENTREPRISE SAS Schiltigheim;20-Combustion of fuels
110844;205545;O.R.I. Martin S.p.A.;25-Production or processing of ferrous metals
100448;661;Louhen lämpölaitos;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
105652;338;Werk Teistungen;32-Manufacture of ceramics
110845;205620;SIDEFO;20-Combustion of fuels
90070;200081;23085;10-Aircraft operator activities
105653;855;Heizzentrale Weiher II;20-Combustion of fuels
95244;1095;SWISS KRONO SAS;20-Combustion of fuels
110846;205573;TRAFILERIE CARLO GNUTTI S.p.A.;28-Production or processing of non-ferrous metals
105654;4107;MVV Enamic Korbach GmbH;20-Combustion of fuels
100451;662;Hämeenkyrön Voima Oy;20-Combustion of fuels
110847;205605;Portovesme s.r.l. Stabilimento di Portovesme;28-Production or processing of non-ferrous metals
95246;1094;DALKIA France smurfit socar;1-Combustion installations with a rated thermal input exceeding 20 MW
105655;339;Ziegelei Gersthofen;32-Manufacture of ceramics
95247;844;Chaufferie Vapeur RMD;1-Combustion installations with a rated thermal input exceeding 20 MW
110849;205622;Cicogres, S.A.;32-Manufacture of ceramics
100453;663;Lohjan Biolämpö;20-Combustion of fuels
105657;4123;Kalkbrennanlage Neue Kalk;6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces
95248;286;NESTLE FRANCE - DIEPPE;20-Combustion of fuels
105658;4120;Heizwerk Franken II;20-Combustion of fuels
110851;205246;Reformer BRU;43-Production of hydrogen and synthesis gas
95249;843;LIFETEX;1-Combustion installations with a rated thermal input exceeding 20 MW
100456;418;Karhulan tehtaat;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
105659;856;Peißenberger Wärmegesellschaft mbH;20-Combustion of fuels
110852;205102;Primus Vitória - Azulejos, S.A.;32-Manufacture of ceramics
95250;1093;CHAUFFERIE HUTCHINSON Usine de Montargis;20-Combustion of fuels
100457;388;Karhulan tehdas;31-Manufacture of glass
105660;576;Installation 576;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
110853;205625;Dalum Kraftvarme A/S;20-Combustion of fuels
100458;419;Kauttuan tehtaat;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
95251;285;EXXONMOBIL CHEMICAL LLP;20-Combustion of fuels
105662;340;Ziegelei Waldsassen;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
100459;448;Koskenkorvan tehdas;20-Combustion of fuels
110855;205624;GRANITIFIANDRE CASTELLARANO;32-Manufacture of ceramics
95252;842;BLUE PAPER SAS;35-Production of pulp
100460;449;Rajamäen tehdas;1-Combustion installations with a rated thermal input exceeding 20 MW
110856;205633;Dual Gres, S.A.;32-Manufacture of ceramics
105664;857;Hilfskessel Philippsburg;20-Combustion of fuels
95253;841;Briqueterie de Rouffach;8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain
100461;450;Kaipiaisten teollisuusalue;1-Combustion installations with a rated thermal input exceeding 20 MW
110857;205541;Impianto Produzione PTA/PET- Ottana;42-Production of bulk chemicals
100462;451;Nurmon tehtaat;1-Combustion installations with a rated thermal input exceeding 20 MW
105665;578;Pappenmaschine 1+2 Bad Harzburg;36-Production of paper or cardboard
95255;840;'CRISTAL UNION ET. D''ERSTEIN';20-Combustion of fuels
110858;205565;GRAL;32-Manufacture of ceramics
105666;341;Argelith Bodenkeramik H. Bitter GmbH;32-Manufacture of ceramics
100463;452;Puhoksen tehdas;20-Combustion of fuels
95256;1092;DALKIA - DESCARTES ENERGIES;20-Combustion of fuels
110859;205635;LUZEAL- Site de PAUVRES;20-Combustion of fuels
105667;2494;Vertikalglühofen Feuerverzinkung 2;25-Production or processing of ferrous metals
100464;394;Porin kartonkitehdas;36-Production of paper or cardboard
90090;200105;27554;10-Aircraft operator activities
95257;19;TEINTURES ET APPRETS DE SAINT-QUENTIN;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
105668;2495;Wärmöfen Warmbreitbandwalzwerk;25-Production or processing of ferrous metals
100465;13;Auroranportin lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110861;205636;LUZEAL- Site de RECY;20-Combustion of fuels
90092;200111;227;10-Aircraft operator activities
105669;858;Heizwerk Kugelfischer;1-Combustion installations with a rated thermal input exceeding 20 MW
100466;14;Hukanhaudan lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95258;284;SVD 82 - Chaufferie Urbaine de Rouen-Bihorel;20-Combustion of fuels
110862;205637;LUZEAL- Site de SAINT REMY SUR BUSSY;20-Combustion of fuels
105670;2496;Walzwerk Nauweiler Saarstahl AG;24-Production of pig iron or steel
95259;839;VELCOREX SINCE 1828;20-Combustion of fuels
90093;200118;30932;10-Aircraft operator activities
100467;15;Juvanmalmi II lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110863;205638;LUZEAL- Site de SEPT SAULX;20-Combustion of fuels
105671;2497;Warmwasserkessel (Biomasse);1-Combustion installations with a rated thermal input exceeding 20 MW
90094;200119;34989;10-Aircraft operator activities
100468;16;Kaupunginkallion lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
95260;128;ESSITY OPERATIONS LE THEIL;35-Production of pulp
110864;205639;LUZEAL- Site de PONTFAVERGER;20-Combustion of fuels
105672;2498;Warmwasserkessel (Biomasse);1-Combustion installations with a rated thermal input exceeding 20 MW
95261;283;TOYO INK EUROPE SPECIALTY CHEMICALS;20-Combustion of fuels
100469;17;Keskussairaalan lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110865;205640;ΛΕΒΗΤΟΣΤΑΣΙΟ ΑΙΧΜΗΣ & ΕΦΕΔΡΕΙΑΣ & ΑΝΤΛΙΟΣΤΑΣΙΟ Α11;20-Combustion of fuels
90096;200120;11775;10-Aircraft operator activities
105673;579;Anlage zur fabrikmässigen Herstellung von Papier;36-Production of paper or cardboard
95262;838;LANA PAPIERS SPECIAUX II;35-Production of pulp
100470;18;Kivenlahden lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
90097;200122;28445;10-Aircraft operator activities
105674;2499;Warmwasserkessel (Biomasse);20-Combustion of fuels
95263;282;Chaufferie Urbaine de Canteleu;20-Combustion of fuels
100471;19;Koivuniemen lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110867;205634;Vargön Alloys AB;28-Production or processing of non-ferrous metals
90098;200121;637;10-Aircraft operator activities
95264;837;TEREOS STARCH & SWEETENERS EUROPE - Marckolsheim;20-Combustion of fuels
100472;20;Kontiosuon voimalaitos;20-Combustion of fuels
105676;859;Heizkraftwerk Werder;1-Combustion installations with a rated thermal input exceeding 20 MW
110868;205641;Asfalt-Centrale BAM B.V.;20-Combustion of fuels
90099;200123;35130;10-Aircraft operator activities
100473;21;Käpykankaan lämpökeskus;20-Combustion of fuels
95265;1091;CIMENTS CALCIA - Usine de Beffes;29-Production of cement clinker
110869;205601;FACI SPA;42-Production of bulk chemicals
105677;342;Ziegelei Schirnding;32-Manufacture of ceramics
90100;200124;28475;10-Aircraft operator activities
95266;281;'Chaufferie Urbaine d''Evreux';20-Combustion of fuels
100474;22;Noljakan lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110870;205325;Ila Valdadige s.r.l;32-Manufacture of ceramics
105679;2595;Columbian Carbon Deutschland GmbH;37-Production of carbon black
90101;200127;1855;10-Aircraft operator activities
95267;73;'EDF Centrale d''Ambès';1-Combustion installations with a rated thermal input exceeding 20 MW
100475;23;Otaniemen lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
110871;205327;Laterificio Pugliese S.p.A.;32-Manufacture of ceramics
95268;1090;CNIE DE COGENERATION DE LA BRAYE;20-Combustion of fuels
105680;2596;Kraftwerk;20-Combustion of fuels
90102;200128;17921;10-Aircraft operator activities
110872;205645;Centrálny areál Gajary - báden;20-Combustion of fuels
100476;24;Pötkän lämpökeskus;20-Combustion of fuels
95269;836;ESSITY OPERATIONS FRANCE - Site de Kunheim;35-Production of pulp
90103;200129;29467;10-Aircraft operator activities
100477;25;Rantakylän lämpökeskus;20-Combustion of fuels
105682;580;Anlage zur Herstellung von Karton;36-Production of paper or cardboard
95270;280;UPM CHAPELLE DARBLAY;35-Production of pulp
100478;26;Suomenojan voimalaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
90104;200132;35097;10-Aircraft operator activities
95271;835;'WIENERBERGER - Briqueterie d''Achenheim';32-Manufacture of ceramics
110876;205646;Haagse Asfaltcentrale (HAC);20-Combustion of fuels
100479;27;Tapiolan lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
105684;4122;Industrieheizkraftwerk Andernach;20-Combustion of fuels
110877;205648;f12879;10-Aircraft operator activities
105685;343;Ziegelei Dachau;32-Manufacture of ceramics
100480;28;Ukonmäen lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95273;1089;SPL CME CHAUFFERIE;20-Combustion of fuels
90107;200134;35682;10-Aircraft operator activities
110878;205647;Asfaltcentrale Limburg (ACL);20-Combustion of fuels
95274;834;'KRONENBOURG Brasserie d''Obernai';20-Combustion of fuels
105686;860;Kraftwerk O10 - Kessel 3-5;20-Combustion of fuels
100481;29;Utran lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110879;205649;Saint-Gobain Finland Oy, Gyproc kipsilevy;34-Production or processing of gypsum or plasterboard
95275;279;Lafarge Ciments - Usine du Havre;29-Production of cement clinker
90110;200131;12405;10-Aircraft operator activities
100482;30;Vermon lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
110880;205627;Werk Nettgau;20-Combustion of fuels
105688;4128;Werk Bernburg;31-Manufacture of glass
100483;31;Björknäs värmecentral och kraftvärmeverk;20-Combustion of fuels
90111;200142;1167;10-Aircraft operator activities
95277;278;AHLSTROM SPECIALTIES PONT AUDEMER;35-Production of pulp
110881;205333;ZML - Area Industriale GHISA;25-Production or processing of ferrous metals
100484;407;Enocell Oy Uimaharjun tehtaat;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
90112;200144;4306;10-Aircraft operator activities
95278;1088;DALKIA Industrie cogénération malterie;1-Combustion installations with a rated thermal input exceeding 20 MW
105690;581;Papierfabrik Kaufbeuren;36-Production of paper or cardboard
110882;205382;Stabilimento Knauf di Castellina M.ma;34-Production or processing of gypsum or plasterboard
100485;515;Seinäjoen Stal-Laval -kaasuturbiini;1-Combustion installations with a rated thermal input exceeding 20 MW
95279;277;Pochet du Courval, Usine de Guimerville;31-Manufacture of glass
110883;205651;LVC 4 Lyviksverket;20-Combustion of fuels
100486;516;Vaskiluodon Stal-Laval -kaasuturbiini;1-Combustion installations with a rated thermal input exceeding 20 MW
95280;833;'Centrale Thermique de l''Illberg';1-Combustion installations with a rated thermal input exceeding 20 MW
110884;205652;Kristineheds Avfallsvärmeverk;20-Combustion of fuels
100487;32;Moisio;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95281;275;Sanofi Chimie - Saint Aubin Les Elbeuf;20-Combustion of fuels
105694;861;Heizkraftwerk UPM Werk Schwedt;20-Combustion of fuels
110885;205604;Sistema rete Torce;20-Combustion of fuels
100488;33;Oravinmäki;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
105695;4129;Gütersloh Werk 2;20-Combustion of fuels
95282;832;LILLY France CHAUDIERES;20-Combustion of fuels
110886;205195;CINCA - Unidade de Produção da Mealhada;32-Manufacture of ceramics
100489;34;Pursialan lämmitysvoimalaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
105696;4127;Kesselanlage Werk Kassel;20-Combustion of fuels
95283;1087;CRISTAL UNION Ets de Corbeilles;20-Combustion of fuels
110887;205510;Porr a.s. - Středokluky;20-Combustion of fuels
95284;831;PAPETERIES DE TURCKHEIM;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
100490;35;Siekkilä;1-Combustion installations with a rated thermal input exceeding 20 MW
105697;582;Werk Viersen;36-Production of paper or cardboard
95285;274;RENAULT CLEON;1-Combustion installations with a rated thermal input exceeding 20 MW
100491;36;Tikkalan höyrylämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
105698;4101;Solarglaswerk Tschernitz;31-Manufacture of glass
110890;205659;APERAM Stainless France- Site de Gueugnon;20-Combustion of fuels
100492;37;Vuorikatu;1-Combustion installations with a rated thermal input exceeding 20 MW
95286;1086;CRISTAL UNION - SVI PITHIVIERS LE VIEIL;20-Combustion of fuels
105699;862;Zuckerfabrik Warburg;1-Combustion installations with a rated thermal input exceeding 20 MW
95287;830;WIENERBERGER - Betschdorf;32-Manufacture of ceramics
100493;453;Äetsän tuotantolaitokset;20-Combustion of fuels
105700;4126;Energiezentrale;1-Combustion installations with a rated thermal input exceeding 20 MW
110892;205660;'APERAM Stainless France- Site d''Isbergues';20-Combustion of fuels
100494;517;Huutokosken kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
105701;344;Anlage zum Brennen keramischer Erzeugnisse;1-Combustion installations with a rated thermal input exceeding 20 MW
95288;18;AHLSTROM CHANTRAINE;9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board
110893;205656;ENAGAS TRANSPORTE, S.A.U. - Planta de Operaciones;20-Combustion of fuels
100495;518;Kilpilahden kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
95289;98;LFO SAUVETERRE;30-Production of lime, or calcination of dolomite/magnesite
110894;205655;GRANITIFIANDRE FIORANO;32-Manufacture of ceramics
90130;200160;29056;10-Aircraft operator activities
105703;863;Heizwerk Viehhof;20-Combustion of fuels
100496;519;Kristiinan kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
110895;205657;GRANITIFIANDRE VIANO;32-Manufacture of ceramics
95290;829;DS SMITH PAPER KAYSERSBERG;36-Production of paper or cardboard
90131;200162;7028;10-Aircraft operator activities
100497;520;Loviisan kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
95291;1085;Station compres.de Méry sur Cher (GDF);1-Combustion installations with a rated thermal input exceeding 20 MW
110896;205654;GRANITIFIANDRE SASSUOLO;32-Manufacture of ceramics
90132;200164;186;10-Aircraft operator activities
105705;583;Heizkraftwerk Hoya PM2;36-Production of paper or cardboard
100498;521;Naantalin kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
110897;205430;WAG Verdichterstation Baumgarten;20-Combustion of fuels
95292;828;EUROGLAS;35-Production of pulp
105707;2597;Speicherverdichterstation Bierwang;20-Combustion of fuels
95293;1084;BBES CHAUFFERIE ZUP DE LA CHANCELLERIE;1-Combustion installations with a rated thermal input exceeding 20 MW
100499;522;Tahkoluodon kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
110898;205664;Hospital Doce de Octubre;20-Combustion of fuels
105708;864;Stadtwerke Wolfen;20-Combustion of fuels
100500;523;Tolkkisten kaasuturpiinilaitokset 1 ja 2;1-Combustion installations with a rated thermal input exceeding 20 MW
110899;205663;Nørre Uttrup Varmecentral;20-Combustion of fuels
95294;599;PAPETERIES DE GROMELLE;35-Production of pulp
105709;2694;Gasrußanlage;37-Production of carbon black
110900;205607;GuD-Kraftwerk;20-Combustion of fuels
95295;273;SNC RENAULT SANDOUVILLE;20-Combustion of fuels
100501;524;Vanajan kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
105710;2695;Glasschmelzwanne 5;7-Installations for the manufacture of glass including glass fibre
110901;205433;TAG Verdichterstation Baumgarten;20-Combustion of fuels
95296;827;ALSACHIMIE;20-Combustion of fuels
100502;525;Vaskiluodon kaasuturbiinilaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
105711;345;Werk  Kirchkimmen  Werk  1;32-Manufacture of ceramics
110902;205435;TAG Verdichterstation Ruden;20-Combustion of fuels
95297;1083;Storengy France - Stockage de Chémery;20-Combustion of fuels
100503;454;Vilppulan Saha;20-Combustion of fuels
110903;205434;TAG Verdichterstation Eggendorf;20-Combustion of fuels
100504;446;Lappeenrannan sementtitehdas;6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces
105712;865;Heizkraftwerk Frankfurt (Oder);20-Combustion of fuels
95298;72;'YARA FRANCE - USINE D''AMBES';20-Combustion of fuels
110904;205432;WAG Verdichterstation Rainbach;20-Combustion of fuels
100505;447;Paraisten sementtitehdas;6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces
95299;50;'NESTLE PURINA PETCARE usine d''Aubigny';20-Combustion of fuels
105713;4130;Glasschmelze  Werk II;31-Manufacture of glass
100506;38;Jokioisten lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95300;127;SOCIETE FROMAGERE DE DOMFRONT;1-Combustion installations with a rated thermal input exceeding 20 MW
105714;584;Papierfabrik Weener;36-Production of paper or cardboard
